ColorMark;IndID;Escaped;OriginSite;CagingSite;OriginContam;SitesPair;CageID;CageSiteID;TransplantContam;Transplant;Injection;Treatment;WeightStart;SizeStart;Weight7D;Size7D;Weight9D;Size9D;WeightEnd;SizeEnd;DailyMassChange;Death;DeathDate;MarkDate;InjectionDate;EuthanasiaDate;DaysAlive;InjectionTime;Pcaud1D7;Pcaud2D7;Pcaud3D7;MeanPcaudD7;PcaudDate;PcaudTime;Pcaud1D9;Pcaud2D9;Pcaud3D9;MeanPcaudD9;IR;IRTime;GonadsWeight;Sex;LiverWeight;GSI;HSI;Lymphocytes;Monocytes;Neutrophils;mMH2O2;mMHCLO;MuscleCarbohydrate;MuscleProtein;MuscleLipid;AvailableEnerJ;CqActb;DeltaCtCat;DeltaCtCasp3;DeltaCtGpx;DeltaCtMtl;DeltaCtPcx;DeltaCtPygl;MuscleAl;MuscleCr;MuscleCo;MuscleNi;MuscleCu;MuscleZn;MuscleAs;MuscleCd
UNMARKED;1;No;AUSCOR;ARIMAS;HC;AUSCOR_ARIMAS;6;6;LC;HC_LC;AMIX;HC_LC_AMIX;4.9;7.6;4.7;7.5;4.6;7.5;4.5;7.5;-0.583090379;0;NA;10/09/2018;17/09/2018;24/09/2018;14;09:45:00;2.012;2.014;2.018;2.014666667;19/09/2018;12:30:00;2.286;2.266;2.282;2.278;13.07081403;47.88541667;0.079;F;0.051;1.755555556;1.133333333;NA;NA;NA;NA;NA;37.3431582;759.5370528;1901.281102;2698.161313;24.41973734;0.071387439;0.005951188;0.311874721;0.662164348;0.037076525;0.100687142;26.49784895;0.353638243;0.022987203;0.245252108;10.91766035;212.0043914;0.548698211;0.013927432
WHITE_GREEN;2;No;AUSCOR;ARIMAS;HC;AUSCOR_ARIMAS;6;6;LC;HC_LC;AMIX;HC_LC_AMIX;6;7.8;5.9;7.6;5.5;8;5.6;7.9;-0.476190476;0;NA;10/09/2018;17/09/2018;24/09/2018;14;09:45:00;2.022;2.012;2.006;2.013333333;19/09/2018;12:30:00;2.422;2.412;2.404;2.412666667;19.83443709;47.88541667;0.074;F;0.056;1.321428571;1;91;8;1;NA;NA;40.93106222;1547.884824;5235.15465;6823.970536;26.45246013;0.038453214;0.026903646;0.600985405;9.499235301;0.00697917;0.037527408;1.313570417;0.127966984;0.01161514;1.616266695;4.794625493;78.75928992;0.663470215;0.009095777
PINK_ORANGE;3;No;AUSCOR;ARIMAS;HC;AUSCOR_ARIMAS;6;6;LC;HC_LC;PBS;HC_LC_PBS;7.6;8.9;7.3;8.7;7.2;8.6;7.1;8.7;-0.469924812;0;NA;10/09/2018;17/09/2018;24/09/2018;14;09:45:00;2.21;2.198;2.184;2.197333333;19/09/2018;12:30:00;2.71;2.724;2.728;2.720666667;23.81674757;47.88541667;0.174;F;0.029;2.450704225;0.408450704;93;3;4;4.500543954;NA;44.72313488;1265.578838;6348.720496;7659.022469;25.32389699;0.036552556;0.006485931;0.695085747;14.56237341;0.017903927;0.065955226;3.016399723;0.119528615;0.011496152;0.032293599;5.23901689;84.98429355;0.371947061;0.003173364
PINK_RED;4;No;AUSCOR;ARIMAS;HC;AUSCOR_ARIMAS;6;6;LC;HC_LC;AMIX;HC_LC_AMIX;4.3;7;3.9;6.9;3.7;7;3.7;6.8;-0.996677741;0;NA;10/09/2018;17/09/2018;24/09/2018;14;09:45:00;2.02;2.002;2;2.007333333;19/09/2018;12:30:00;2.02;2.012;2.036;2.022666667;0.763865825;47.88541667;0.052;F;0.022;1.405405405;0.594594595;87;13;0;NA;NA;19.59270418;1287.48688;3870.738347;5177.81793;25.37811341;0.033771329;0.006698988;0.255563236;0.728599454;0.007300098;0.036375857;3.657935942;0.058601447;0.009343916;0.3097805;1.422597216;108.0656326;0.498151926;0.00185487
PINK_GREEN;5;No;AUSCOR;ARIMAS;HC;AUSCOR_ARIMAS;6;6;LC;HC_LC;PBS;HC_LC_PBS;5.7;8;5.5;7.5;5.4;7.5;5.2;7.7;-0.626566416;0;NA;10/09/2018;17/09/2018;24/09/2018;14;09:45:00;2.022;2.028;2.016;2.022;19/09/2018;12:30:00;1.63;1.654;1.626;1.636666667;-19.05703924;47.88541667;0.012;M;0.03;0.230769231;0.576923077;NA;NA;NA;NA;NA;29.53739306;1024.972718;1745.355932;2799.866043;24.00829833;0.04684323;0.007794697;0.391123692;2.444325719;0.020840611;0.065210351;11.23586811;0.291474058;0.017189684;0.271555719;3.836859953;143.0414183;0.46858623;0.004087401
WHITE_BLUE;6;No;AUSCOR;ARIMAS;HC;AUSCOR_ARIMAS;6;6;LC;HC_LC;AMIX;HC_LC_AMIX;6.3;8.1;6.1;8;6.1;8.4;5.8;8.2;-0.566893424;0;NA;10/09/2018;17/09/2018;24/09/2018;14;09:45:00;2.002;1.996;1.996;1.998;19/09/2018;12:30:00;2.56;2.572;2.554;2.562;28.22822823;47.88541667;0.022;M;0.047;0.379310345;0.810344828;90;9;1;NA;NA;30.64856955;1133.228058;2706.53772;3870.414347;24.31898287;0.02282396;0.005025012;0.18774877;2.299943477;0.002962483;0.024396755;8.980380112;0.031284632;0.009321303;0.000130187;3.831392673;67.53969136;0.402280337;0.000732656
PINK_BLUE;7;No;AUSCOR;ARIMAS;HC;AUSCOR_ARIMAS;6;6;LC;HC_LC;PBS;HC_LC_PBS;7.1;8.4;6.6;8.2;6.4;8.1;6.3;8.5;-0.804828974;0;NA;10/09/2018;17/09/2018;24/09/2018;14;09:45:00;2.012;2.024;2.016;2.017333333;19/09/2018;12:30:00;2.204;2.226;2.228;2.219333333;10.01321877;47.88541667;0.03;M;0.04;0.476190476;0.634920635;98;0;2;6.104827313;215.7635468;29.10200786;1290.072392;5693.503575;7012.677975;25.94924198;0.073322357;0.052678482;0.678816066;4.287348075;0.015127428;0.146224738;2.024281521;0.125869879;0.011279757;0.127523697;1.33839026;60.07957385;0.19369438;0.006524125
PINK_PURPLE;8;No;AUSCOR;ARIMAS;HC;AUSCOR_ARIMAS;6;6;LC;HC_LC;PBS;HC_LC_PBS;6.9;8.9;6.5;8.6;6.1;8.8;6;8.7;-0.931677019;0;NA;10/09/2018;17/09/2018;24/09/2018;14;09:45:00;2.21;2.232;2.204;2.215333333;19/09/2018;12:30:00;1.86;1.846;1.832;1.846;-16.67168221;47.88541667;0.103;F;0.043;1.716666667;0.716666667;79;21;0;1.26043581;155.0930997;36.08466236;1208.446291;4260.22607;5504.757023;25.42142667;0.020374492;0.004554502;0.311522328;1.968478721;0.004486021;0.028843304;0.747008989;0.015119508;0.021729677;0.511964402;1.05884504;80.67611197;0.332763717;0.004745208
PINK_WHITE;9;No;AUSCOR;ARIMAS;HC;AUSCOR_ARIMAS;6;6;LC;HC_LC;PBS;HC_LC_PBS;6.2;8.5;5.9;8.2;5.8;8.2;5.6;8.3;-0.69124424;0;NA;10/09/2018;17/09/2018;24/09/2018;14;09:45:00;2.002;2.008;2.01;2.006666667;19/09/2018;12:30:00;1.83;1.8;1.78;1.803333333;-10.13289037;47.88541667;0.063;F;0.041;1.125;0.732142857;97;3;0;1.64032747;164.5320197;44.69130347;1611.462537;3172.3619;4828.515741;24.16623257;0.046284484;0.00569981;0.427555286;1.865049014;0.007615944;0.085990108;0.568439705;0.032326972;0.009116214;0.000130187;1.907256055;62.5100331;0.221727267;0.002629301
GREEN_ORANGE;10;No;AUSCOR;ARIMAS;HC;AUSCOR_ARIMAS;6;6;LC;HC_LC;AMIX;HC_LC_AMIX;5.9;8;5.4;8;5.1;7.9;4.9;7.6;-1.210653753;0;NA;10/09/2018;17/09/2018;24/09/2018;14;09:45:00;1.802;1.814;1.818;1.811333333;19/09/2018;12:30:00;1.88;1.89;1.9;1.89;4.343025396;47.88541667;0.015;M;0.031;0.306122449;0.632653061;81;14;5;1.807657838;217.0212766;22.79477269;953.3864345;3967.633929;4943.815136;24.31366586;0.010505549;0.004800856;0.245377994;2.333970998;0.00183324;0.043884312;1.048076098;0.043304932;0.011424769;0.097970429;1.396433137;89.85624491;0.263932689;0.001181845
RED_RED;11;No;AUSCOR;ARIMAS;HC;AUSCOR_ARIMAS;5;5;LC;HC_LC;AMIX;HC_LC_AMIX;5.9;7.9;5.6;7.9;5.5;7.6;5.3;8;-0.726392252;0;NA;10/09/2018;17/09/2018;24/09/2018;14;10:10:00;2.032;2.024;2.018;2.024666667;19/09/2018;12:00:00;2.432;2.46;2.542;2.478;22.39051696;47.92361111;0.108;F;0.034;2.037735849;0.641509434;94;4;2;2.322543176;222.9885057;32.93512241;1693.83972;4422.445312;6149.220154;25.23521549;0.017445492;0.00436351;0.214894119;1.289419637;0.004791636;0.027021652;3.958062581;0.131318735;0.01127993;0.474721432;3.09018111;142.0655442;0.372329325;0.004303956
PURPLE_RED;12;No;AUSCOR;ARIMAS;HC;AUSCOR_ARIMAS;5;5;LC;HC_LC;AMIX;HC_LC_AMIX;6.7;8.1;6.2;7.9;5.8;7.8;5.9;8.2;-0.852878465;0;NA;10/09/2018;17/09/2018;24/09/2018;14;10:10:00;2.24;2.228;2.218;2.228666667;19/09/2018;12:00:00;2.862;2.878;2.846;2.862;28.41758899;47.92361111;0.0169;M;0.041;0.286440678;0.694915254;81;11;8;NA;NA;48.24531799;1451.689958;4543.017295;6042.95257;25.83360194;0.018648748;0.024878557;0.04874501;1.584889082;0.006155641;0.019433519;1.472109496;0.040406349;0.014177453;0.129345254;2.071521907;84.6626811;0.493388869;0.002216687
UNMARKED;13;No;AUSCOR;ARIMAS;HC;AUSCOR_ARIMAS;5;5;LC;HC_LC;AMIX;HC_LC_AMIX;7.3;8.5;6.8;8.4;6.8;8.4;6.4;8.6;-0.880626223;0;NA;10/09/2018;17/09/2018;24/09/2018;14;10:10:00;1.9;1.908;1.91;1.906;19/09/2018;12:00:00;2.63;2.606;2.618;2.618;37.35571878;47.92361111;0.086;F;0.026;1.34375;0.40625;86;12;2;1.850411042;179.1044776;33.74274643;1349.489047;2279.057965;3662.289758;26.39853396;0.017844257;0.005142858;0.479116839;6.760613236;0.002288564;0.040627125;2.980322439;0.238986811;0.015779825;0.392916481;1.828715904;90.1082116;0.298615666;0.008634034
PURPLE_GREEN;14;No;AUSCOR;ARIMAS;HC;AUSCOR_ARIMAS;5;5;LC;HC_LC;PBS;HC_LC_PBS;10.1;9.4;9.4;9.4;9;9.1;8.9;9.5;-0.848656294;0;NA;10/09/2018;17/09/2018;24/09/2018;14;10:10:00;2.242;2.248;2.23;2.24;19/09/2018;12:00:00;2.24;2.22;2.21;2.223333333;-0.744047619;47.92361111;0.155;F;0.087;1.741573034;0.97752809;93;7;0;NA;NA;27.3558214;1577.749614;4015.443506;5620.548941;25.38442856;0.030688848;0.005022035;0.385774522;1.614213783;0.017789587;0.074244019;1.97348002;0.055986524;0.017978775;0.078305233;2.219260666;90.81282057;0.412724219;0.004280711
PURPLE_ORANGE;15;No;AUSCOR;ARIMAS;HC;AUSCOR_ARIMAS;5;5;LC;HC_LC;PBS;HC_LC_PBS;6.7;8.5;6.6;8.4;6.6;8.4;6.4;8.4;-0.319829424;0;NA;10/09/2018;17/09/2018;24/09/2018;14;10:10:00;2.096;2.088;2.076;2.086666667;19/09/2018;12:00:00;2.23;2.242;2.228;2.233333333;7.028753994;47.92361111;0.115;F;0.069;1.796875;1.078125;95;5;0;NA;NA;44.57137355;1229.194758;6197.578986;7471.345117;24.65230844;0.011689712;0.002731191;0.162039357;1.002165574;0.003725649;0.036799014;1.30043995;0.168716309;0.008337431;0.128123693;1.69168474;62.60731255;0.346846404;0.005321526
WHITE_PINK;16;No;AUSCOR;ARIMAS;HC;AUSCOR_ARIMAS;5;5;LC;HC_LC;PBS;HC_LC_PBS;6.2;8.1;6;8.1;5.9;8;5.7;8.2;-0.576036866;0;NA;10/09/2018;17/09/2018;24/09/2018;14;10:10:00;2.24;2.232;2.22;2.230666667;19/09/2018;12:00:00;2.46;2.474;2.482;2.472;10.81888822;47.92361111;0.028;M;0.06;0.49122807;1.052631579;91;5;4;3.287803461;155.7502738;26.50670835;1727.229702;7701.688537;9455.424947;25.12272716;0.022114872;0.007406803;0.120806166;1.865357844;0.012622084;0.050742648;2.556659846;0.019764267;0.010531229;0.037924041;2.456945334;94.518878;0.512825476;7.63E-06
